wtp_new,wtp_second,wtp_bio,wtp_recycle,wtp_workers,female,age,people_living,education,income,region,i_clothes_fashion,i_clothes_versatile,i_clothes_need,i_clothes_size,i_clothes_fit,i_clothes_easy,i_clothes_quality,i_clothes_cheap,i_clothes_value,i_clothes_know,i_clothes_prestigious,i_clothes_environment,second_stuff_dummy,bio_item_dummy,second_clothes_dummy,bio_clothes_dummy,second_precovid,second_covid,second_postcovid,bio_postcovid,bioc_covid,bio_precovid,no_second_app,no_second_quality,no_second_shop,no_second_environment,no_second_clean,no_second_size,no_second_fashion,bio_eco,bio_vintage,bio_quality,bio_pollution,bio_peer,no_bio_app,no_bio_expensive,no_bio_shop,no_bio_environment,no_bio_rare,no_bio_style,no_bio_fashion,no_bio_quality,poll_chemical_synt,poll_chemical_nat,poll_dye,poll_water,poll_biodegradable,pro_recycle,pro_label,pro_brown_firms,pro_packaging,pro_pub_transport,pro_pack_reuse,pro_donation,pro_reuse,pro_second_clothes,pro_label_clothes,pro_temp_clothes,pro_quality_clothes,pro_bio1_clothes,pro_bio2_clothes,wtp_cert_quality,wtp_cert_bio,wtp_cert_recycle,wtp_cert_workers,wtp_cert_workers_env,sustainable_sector,sustainable_phases,second_eco,second_vintage,second_quality,second_endlife,second_pollution,second_peer,sustainable_fashion_item1,sustainable_fashion_item2,sustainable_fashion_item3,sustainable_fashion_item4
10,0,14,5,10,Male,57,2,Postsecondary education,Preferisco non rispondere,Lazio,Important,Very important,Important,Very important,Very important,Very important,Very important,Moderately,Important,Moderately,Moderately,Important,No,Yes,No,Yes,,,,Always,Sometimes,Always,Not at all,Moderately,Slightly,Slightly,Very important,Slightly,Slightly,Important,Very important,Very important,Very important,Not at all,,,,,,,,,Strongly agree,Agree,Undecided,Agree,Strongly agree,Always,Always,Often,Sometimes,Sometimes,Often,Never,Often,Never,Always,Rarely,Always,Always,Always,Nothing,Little amount,Nothing,Nothing,Little amount,All items,All items,,,,,,,4,7,8,8
15,10,25,10,15,Male,22,5,Postsecondary education,45000€-60000€,Campania,Moderately,Moderately,Important,Important,Important,Important,Important,Important,Important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Often,Sometimes,Sometimes,Moderately,Moderately,Important,Important,Important,Moderately,Important,Slightly,Slightly,Slightly,Moderately,Moderately,,,,,,,,,Undecided,Undecided,Undecided,Undecided,Agree,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Never,Often,Sometimes,Sometimes,Often,Sometimes,Large amount,Large amount,Pay enough,Pay enough,Large amount,Economy,Delivery,,,,,,,4,7,7,7
15,7,8,8,9,Male,63,3,Postsecondary education,15000€-30000€,Toscana,Moderately,Important,Important,Very important,Important,Important,Very important,Important,Very important,Moderately,Moderately,Moderately,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Moderately,Important,Important,Moderately,,,,,,,,,Agree,Agree,Agree,Undecided,Agree,Often,Often,Sometimes,Often,Often,Often,Rarely,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Pay enough,Pay enough,Pay enough,Pay enough,Large amount,Economy,Production,Important,Moderately,Moderately,Moderately,Important,Moderately,8,8,7,7
6,2,8,7,8,Female,25,4,Secondary school,Preferisco non rispondere,Molise,Moderately,Very important,Important,Very important,Very important,Moderately,Important,Important,Very important,Moderately,Moderately,Moderately,No,No,No,Yes,,,,Rarely,Never,Rarely,Slightly,Moderately,Moderately,Moderately,Important,Moderately,Slightly,Moderately,Slightly,Moderately,Moderately,Not at all,,,,,,,,,Agree,Agree,Agree,Undecided,Agree,Always,Always,Always,Always,Often,Always,Often,Always,Never,Always,Often,Always,Rarely,Sometimes,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,All items,,,,,,,7,9,9,9
25,10,30,25,35,Female,28,4,Middle school,0-15000€,Campania,Important,Moderately,Important,Moderately,Important,Moderately,Important,Moderately,Moderately,Moderately,Important,Moderately,Yes,No,Yes,Yes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,,,,,,,,Important,Moderately,Moderately,Slightly,Important,,,,,,,,,Agree,Undecided,Agree,Undecided,Agree,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Pay enough,Little amount,Pay enough,Pay enough,Little amount,Economy,Delivery,Important,Moderately,Important,Moderately,Important,Moderately,6,5,6,5
15,5,15,10,15,Male,24,3,Postsecondary education,0-15000€,Piemonte,Not at all,Not at all,Not at all,Very important,Very important,Very important,Not at all,Very important,Important,Not at all,Not at all,Slightly,Yes,No,Yes,No,Rarely,Never,Never,,,,,,,,,,,,,,,,Very important,Important,Moderately,Slightly,Slightly,Not at all,Not at all,Not at all,Agree,Agree,Undecided,Agree,Strongly agree,Always,Often,Often,Sometimes,Always,Sometimes,Never,Sometimes,Rarely,Often,Never,Always,Never,Rarely,Pay enough,Pay enough,Large amount,Pay enough,Pay enough,All items,All items,Very important,Not at all,Very important,Very important,Moderately,Not at all,9,6,6,8
5,3,6,6,7,Female,33,2,Postsecondary education,45000€-60000€,Veneto,Important,Important,Very important,Important,Very important,Moderately,Important,Very important,Very important,Important,Moderately,Moderately,No,No,No,Yes,,,,Often,Sometimes,Often,Slightly,Moderately,Slightly,Slightly,Very important,Moderately,Slightly,Moderately,Important,Very important,Important,Moderately,,,,,,,,,Strongly agree,Undecided,Undecided,Agree,Undecided,Always,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Never,Sometimes,Sometimes,Often,Often,Sometimes,Large amount,Large amount,Pay enough,Large amount,Large amount,Environment,Production,,,,,,,4,8,5,9
7,3,8,4,5,,29,4,Postsecondary education,0-15000€,Piemonte,Slightly,Moderately,Moderately,Very important,Very important,Important,Moderately,Important,Moderately,Not at all,Not at all,Slightly,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Often,Often,Sometimes,Often,,,,,,,,Moderately,Not at all,Moderately,Important,Not at all,,,,,,,,,Agree,Disagree,Strongly agree,Strongly agree,Agree,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Often,Pay enough,Pay enough,Large amount,Large amount,Large amount,Environment,Production,Important,Slightly,Moderately,Moderately,Important,Slightly,7,6,6,6
10,4,15,7,15,Female,34,5,Postsecondary education,0-15000€,Liguria,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,No,No,No,Yes,,,,Often,Sometimes,Often,Slightly,Very important,Slightly,Very important,Very important,Very important,Slightly,Very important,Important,Very important,Very important,Slightly,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Often,Often,Sometimes,Always,Always,Always,Never,Always,Often,Always,Always,Always,Large amount,Large amount,Pay enough,Large amount,Large amount,All items,All items,,,,,,,1,4,8,9
13,7,15,15,15,Female,21,4,Secondary school,30000€-45000€,Toscana,Slightly,Important,Very important,Very important,Very important,Important,Important,Important,Important,Not at all,Not at all,Moderately,Yes,Yes,Yes,Yes,Sometimes,Never,Sometimes,Often,Rarely,Often,,,,,,,,Slightly,Slightly,Moderately,Important,Not at all,,,,,,,,,Agree,Undecided,Undecided,Agree,Strongly agree,Always,Sometimes,Often,Often,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Never,Always,Often,Sometimes,Little amount,Pay enough,Pay enough,Pay enough,Pay enough,All items,All items,Slightly,Moderately,Important,Important,Important,Not at all,10,7,7,8
4,1,5,3,5,Female,23,5,Postsecondary education,15000€-30000€,Lombardia,Important,Important,Important,Important,Important,Important,Important,Important,Important,Moderately,Moderately,Important,Yes,Yes,Yes,Yes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Important,Important,Moderately,Important,,,,,,,,,Agree,Undecided,Undecided,Undecided,Agree,Always,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Pay enough,Little amount,Pay enough,Pay enough,Little amount,All items,Design,Moderately,Moderately,Important,Important,Moderately,Moderately,7,7,1,9
3,1,4,3,3,Male,24,4,Postsecondary education,0-15000€,Campania,Important,Moderately,Important,Important,Important,Moderately,Important,Important,Important,Important,Important,Important,No,Yes,No,Yes,,,,Sometimes,Sometimes,Often,Important,Moderately,Moderately,Moderately,Important,Important,Moderately,Important,Important,Important,Moderately,Moderately,,,,,,,,,Agree,Undecided,Agree,Undecided,Undecided,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Pay enough,Pay enough,Pay enough,Little amount,Pay enough,Environment,Production,,,,,,,4,6,6,6
10,5,10,10,10,Male,20,4,Postsecondary education,30000€-45000€,Puglia,Moderately,Important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Moderately,Moderately,Important,Important,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Often,Sometimes,Often,Often,Always,Often,Often,Always,Often,Always,Often,Often,Often,Always,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Moderately,Moderately,Important,Important,Important,Slightly,8,9,10,9
25,15,30,30,35,Male,23,4,Postsecondary education,45000€-60000€,Lombardia,Not at all,Moderately,Important,Very important,Very important,Important,Moderately,Moderately,Important,Slightly,Slightly,Important,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Moderately,Important,Moderately,Moderately,Important,Not at all,Moderately,Not at all,Important,Important,Not at all,,,,,,,,,Agree,Undecided,Agree,Agree,Disagree,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Little amount,Pay enough,Little amount,Pay enough,Pay enough,All items,All items,,,,,,,5,6,8,9
15,7,15,15,18,Male,21,3,Secondary school,15000€-30000€,Lombardia,Moderately,Important,Important,Very important,Very important,Important,Important,Moderately,Important,Important,Slightly,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Slightly,Important,Not at all,Very important,Very important,Important,Moderately,Slightly,Important,Very important,Slightly,,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Always,Sometimes,Sometimes,Often,Always,Sometimes,Sometimes,Often,Never,Rarely,Never,Often,Sometimes,Sometimes,Nothing,Nothing,Nothing,Little amount,Pay enough,Environment,Production,,,,,,,8,9,10,10
5,1,6,6,6,Female,22,4,Postsecondary education,30000€-45000€,Lombardia,Slightly,Moderately,Important,Very important,Very important,Very important,Very important,Slightly,Very important,Not at all,Not at all,Slightly,No,Yes,Yes,Yes,Rarely,Never,Never,Always,Always,Sometimes,,,,,,,,Slightly,Slightly,Very important,Important,Slightly,,,,,,,,,Agree,Disagree,Strongly agree,Strongly agree,Agree,Often,Often,Always,Sometimes,Often,Rarely,Never,Rarely,Rarely,Never,Never,Often,Always,Often,Large amount,Large amount,Large amount,Large amount,Large amount,All items,Production,Moderately,Important,Important,Important,Very important,Not at all,10,7,8,9
10,5,10,10,10,Male,24,3,Postsecondary education,15000€-30000€,Friuli Venezia Giulia,Slightly,Important,Important,Important,Very important,Important,Important,Important,Important,Slightly,Slightly,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Important,Moderately,Moderately,Moderately,Moderately,Moderately,Important,Moderately,Moderately,Moderately,Moderately,,,,,,,,,Undecided,Undecided,Agree,Undecided,Undecided,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,,,,,,,3,8,7,8
4,1,5,3,4,Male,59,3,Secondary school,15000€-30000€,Lombardia,Slightly,Moderately,Moderately,Important,Important,Important,Important,Moderately,Important,Moderately,Slightly,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Moderately,Slightly,Moderately,Moderately,Moderately,Moderately,Moderately,Slightly,Moderately,Moderately,Slightly,,,,,,,,,Agree,Disagree,Undecided,Agree,Undecided,Always,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,All items,All items,,,,,,,6,7,6,7
6,2,10,5,10,Male,22,7,Secondary school,60000€-75000€,Toscana,Not at all,Important,Important,Important,Important,Important,Very important,Moderately,Important,Not at all,Not at all,Important,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Slightly,Very important,Moderately,Important,Very important,Important,Not at all,Moderately,Not at all,Important,Important,Slightly,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Always,Often,Sometimes,Often,Often,Large amount,Large amount,Large amount,Large amount,Large amount,All items,Production,,,,,,,3,8,6,9
7,2,7,7,7,Male,57,2,Secondary school,15000€-30000€,Lombardia,Moderately,Moderately,Moderately,Important,Important,Important,Important,Important,Very important,Moderately,Slightly,Very important,Yes,Yes,No,Yes,,,,Sometimes,Never,Sometimes,Slightly,Moderately,Moderately,Slightly,Very important,Important,Important,Important,Moderately,Important,Very important,Not at all,,,,,,,,,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Often,Always,Often,Often,Little amount,Little amount,Little amount,Little amount,Little amount,All items,All items,,,,,,,5,7,8,9
5,1,5,2,5,Male,28,2,Postsecondary education,30000€-45000€,Lombardia,Slightly,Important,Very important,Very important,Important,Important,Very important,Moderately,Important,Moderately,Slightly,Moderately,No,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Not at all,Very important,Slightly,Slightly,Very important,Important,Very important,Very important,Slightly,Very important,Important,Not at all,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Undecided,Always,Often,Often,Always,Always,Always,Never,Often,Never,Often,Often,Often,Often,Often,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,All items,All items,,,,,,,7,9,9,9
8,4,8,8,8,Male,34,2,Postsecondary education,0-15000€,Basilicata,Not at all,Very important,Very important,Very important,Very important,Very important,Very important,Important,Very important,Slightly,Not at all,Very important,Yes,Yes,Yes,Yes,Sometimes,Never,Never,Often,Never,Often,,,,,,,,Not at all,Not at all,Not at all,Moderately,Not at all,,,,,,,,,Strongly agree,Disagree,Strongly agree,Agree,Undecided,Always,Always,Always,Always,Never,Often,Never,Always,Sometimes,Always,Always,Always,Often,Always,Little amount,Nothing,Pay enough,Nothing,Little amount,All items,All items,Important,Very important,Very important,Moderately,Very important,Not at all,10,7,7,7
5,3,5,5,5,Female,22,4,Secondary school,15000€-30000€,Lombardia,Slightly,Important,Very important,Very important,Very important,Moderately,Very important,Moderately,Moderately,Not at all,Not at all,Slightly,Yes,No,No,Yes,,,,Always,Always,Always,Slightly,Important,Moderately,Slightly,Very important,Slightly,Moderately,Slightly,Slightly,Important,Moderately,Important,,,,,,,,,Undecided,Agree,Undecided,Undecided,Agree,Always,Rarely,Rarely,Sometimes,Sometimes,Often,Never,Sometimes,Never,Sometimes,Never,Never,Often,Never,Nothing,Little amount,Nothing,Nothing,Nothing,Environment,Production,,,,,,,6,7,3,7
5,2,10,5,10,Female,29,1,PhD,0-15000€,Lombardia,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Important,Yes,Yes,Yes,Yes,Sometimes,Never,Rarely,Rarely,Never,Sometimes,,,,,,,,Very important,Very important,Very important,Slightly,Not at all,,,,,,,,,Agree,Undecided,Undecided,Undecided,Strongly agree,Rarely,Rarely,Rarely,Always,Always,Sometimes,Rarely,Always,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Pay enough,Large amount,Pay enough,Large amount,Large amount,Environment,All items,Important,Important,Important,Important,Moderately,Slightly,9,6,4,4
10,5,10,10,11,Male,22,4,Secondary school,30000€-45000€,Piemonte,Important,Important,Important,Very important,Important,Moderately,Important,Important,Very important,Moderately,Important,Moderately,No,Yes,No,Yes,,,,Sometimes,Often,Sometimes,Important,Moderately,Important,Important,Moderately,Important,Moderately,Important,Moderately,Moderately,Important,Moderately,,,,,,,,,Agree,Disagree,Agree,Agree,Undecided,Always,Often,Rarely,Rarely,Always,Sometimes,Sometimes,Sometimes,Never,Often,Often,Often,Often,Sometimes,Pay enough,Pay enough,Little amount,Pay enough,Large amount,Environment,All items,,,,,,,9,4,6,8
9,1,15,9,9,Male,25,5,Postsecondary education,15000€-30000€,Puglia,Moderately,Moderately,Very important,Very important,Very important,Not at all,Important,Moderately,Very important,Moderately,Moderately,Moderately,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Moderately,Slightly,Slightly,Very important,Slightly,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Never,Rarely,Rarely,Never,Nothing,Pay enough,Pay enough,Nothing,Pay enough,Environment,Production,Very important,Slightly,Very important,Very important,Moderately,Not at all,10,9,6,9
5,3,10,8,5,Male,38,3,Postsecondary education,30000€-45000€,Lombardia,Important,Moderately,Moderately,Slightly,Important,Very important,Moderately,Important,Moderately,Important,Important,Moderately,Yes,Yes,Yes,No,Often,Sometimes,Often,,,,,,,,,,,,,,,,Moderately,Slightly,Important,Slightly,Moderately,Slightly,Slightly,Moderately,Undecided,Disagree,Agree,Undecided,Undecided,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Little amount,Pay enough,Pay enough,Little amount,Pay enough,Economy,Production,Moderately,Slightly,Moderately,Moderately,Slightly,Moderately,6,7,4,7
10,7,14,15,18,Female,25,4,Secondary school,0-15000€,Piemonte,Slightly,Very important,Very important,Important,Very important,Very important,Very important,Important,Very important,Not at all,Not at all,Very important,Yes,Yes,Yes,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,,,,,,,,Slightly,Moderately,Important,Very important,Not at all,,,,,,,,,Agree,Disagree,Agree,Undecided,Agree,Always,Always,Sometimes,Often,Often,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Often,Pay enough,Pay enough,Large amount,Large amount,Large amount,All items,Design,Moderately,Important,Important,Important,Very important,Not at all,4,6,9,9
10,4,10,10,10,Male,28,3,Secondary school,Preferisco non rispondere,Emilia Romagna,Moderately,Important,Very important,Very important,Very important,Important,Very important,Moderately,Important,Moderately,Moderately,Moderately,Yes,No,Yes,Yes,Sometimes,Never,Never,Always,Always,Always,,,,,,,,Not at all,Not at all,Moderately,Slightly,Not at all,,,,,,,,,Agree,Agree,Undecided,Undecided,Disagree,Often,Sometimes,Rarely,Never,Never,Never,Often,Often,Sometimes,Rarely,Never,Often,Sometimes,Sometimes,Pay enough,Nothing,Nothing,Nothing,Nothing,Economy,Production,Moderately,Very important,Important,Slightly,Moderately,Not at all,8,7,9,8
15,20,15,40,25,Female,24,6,Postsecondary education,75000€-100000€,Non risiedo in Italia,Important,Moderately,Important,Very important,Moderately,Very important,Very important,Moderately,Important,Slightly,Important,Important,No,No,No,Yes,,,,Always,Often,Sometimes,Moderately,Important,Important,Very important,Important,Moderately,Important,Moderately,Important,Very important,Important,Very important,,,,,,,,,Undecided,Agree,Strongly agree,Undecided,Agree,Sometimes,Always,Often,Sometimes,Always,Often,Sometimes,Always,Sometimes,Always,Often,Sometimes,Often,Always,Pay enough,Large amount,Pay enough,Little amount,Pay enough,Society,Delivery,,,,,,,6,8,5,9
1,2,2,3,6,Male,26,3,Postsecondary education,0-15000€,Trentino Alto Adige,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,,,,,,,,Slightly,Slightly,Slightly,Slightly,Slightly,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Little amount,Little amount,Little amount,Little amount,Little amount,All items,Design,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,3,3,3,3
10,5,7,7,10,Female,27,1,Postsecondary education,15000€-30000€,Lombardia,Not at all,Moderately,Important,Very important,Very important,Important,Slightly,Very important,Very important,Not at all,Not at all,Slightly,Yes,Yes,Yes,Yes,Often,Never,Often,Sometimes,Never,Sometimes,,,,,,,,Slightly,Not at all,Important,Slightly,Not at all,,,,,,,,,Strongly agree,Disagree,Strongly agree,Strongly agree,Undecided,Always,Never,Never,Always,Always,Always,Rarely,Often,Often,Never,Never,Never,Sometimes,Rarely,Little amount,Little amount,Little amount,Pay enough,Pay enough,All items,All items,Important,Very important,Very important,Very important,Very important,Not at all,10,6,8,7
12,6,12,9,12,Male,24,3,Secondary school,0-15000€,Puglia,Not at all,Very important,Moderately,Moderately,Moderately,Not at all,Very important,Very important,Very important,Not at all,Not at all,Slightly,No,Yes,No,Yes,,,,Rarely,Rarely,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,Slightly,Slightly,Slightly,Slightly,,,,,,,,,Undecided,Undecided,Disagree,Strongly agree,Undecided,Always,Sometimes,Sometimes,Often,Always,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Often,Often,Often,Nothing,Nothing,Nothing,Nothing,Nothing,Environment,All items,,,,,,,9,1,1,1
20,7,35,20,20,Male,28,2,Secondary school,0-15000€,Calabria,Important,Important,Important,Very important,Moderately,Slightly,Very important,Moderately,Very important,Moderately,Moderately,Important,Yes,No,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Very important,Important,Very important,Very important,Not at all,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Always,Often,Often,Often,Often,Often,Always,Often,Rarely,Often,Rarely,Sometimes,Sometimes,Often,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Very important,Very important,Very important,Important,Very important,Not at all,7,9,8,9
5,1,3,3,7,Male,40,1,Secondary school,0-15000€,Lazio,Slightly,Moderately,Important,Moderately,Moderately,Moderately,Important,Moderately,Slightly,Moderately,Moderately,Moderately,Yes,Yes,Yes,No,Rarely,Sometimes,Sometimes,,,,,,,,,,,,,,,,Slightly,Moderately,Important,Moderately,Slightly,Slightly,Moderately,Important,Undecided,Agree,Undecided,Disagree,Undecided,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Little amount,Pay enough,Little amount,Pay enough,Pay enough,Economy,Delivery,Moderately,Moderately,Important,Moderately,Slightly,Slightly,5,6,6,5
10,3,5,5,10,Male,24,4,Postsecondary education,15000€-30000€,Puglia,Moderately,Important,Important,Important,Moderately,Important,Very important,Moderately,Important,Important,Slightly,Moderately,Yes,Yes,Yes,Yes,Rarely,Never,Rarely,Rarely,Rarely,Rarely,,,,,,,,Slightly,Slightly,Important,Moderately,Not at all,,,,,,,,,Agree,Undecided,Agree,Strongly agree,Strongly agree,Often,Always,Always,Sometimes,Always,Always,Sometimes,Always,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Pay enough,Pay enough,Little amount,Large amount,Pay enough,All items,Production,Slightly,Moderately,Moderately,Very important,Important,Not at all,8,8,6,9
5,2,6,4,5,Male,21,4,Secondary school,Preferisco non rispondere,Piemonte,Not at all,Important,Moderately,Important,Important,Moderately,Slightly,Important,Very important,Not at all,Not at all,Slightly,No,No,No,Yes,,,,Never,Never,Rarely,Slightly,Slightly,Slightly,Slightly,Moderately,Slightly,Slightly,Moderately,Not at all,Important,Slightly,Not at all,,,,,,,,,Undecided,Undecided,Agree,Undecided,Agree,Always,Rarely,Never,Sometimes,Sometimes,Often,Rarely,Often,Never,Rarely,Never,Always,Rarely,Never,Little amount,Little amount,Nothing,Little amount,Little amount,Environment,Design,,,,,,,8,9,5,8
2,1,4,5,4,Male,27,3,Postsecondary education,15000€-30000€,Campania,Slightly,Important,Moderately,Moderately,Important,Important,Moderately,Slightly,Slightly,Not at all,Important,Moderately,Yes,Yes,Yes,Yes,Rarely,Often,Often,Sometimes,Often,Never,,,,,,,,Slightly,Moderately,Very important,Important,Important,,,,,,,,,Disagree,Undecided,Undecided,Strongly agree,Agree,Rarely,Sometimes,Often,Often,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Always,Little amount,Little amount,Pay enough,Pay enough,Pay enough,Environment,Production,Slightly,Important,Moderately,Important,Important,Moderately,2,6,6,8
10,3,12,15,15,Female,21,8,Postsecondary education,Preferisco non rispondere,Lazio,Slightly,Moderately,Important,Important,Very important,Moderately,Important,Moderately,Important,Slightly,Slightly,Moderately,Yes,No,No,Yes,,,,Sometimes,Rarely,Sometimes,Slightly,Slightly,Moderately,Moderately,Moderately,Moderately,Moderately,Slightly,Not at all,Moderately,Moderately,Slightly,,,,,,,,,Undecided,Disagree,Disagree,Disagree,Undecided,Often,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Rarely,Never,Never,Often,Rarely,Never,Pay enough,Pay enough,Large amount,Large amount,Large amount,Environment,Production,,,,,,,8,3,4,6
10,5,15,10,20,Male,39,4,Secondary school,30000€-45000€,Emilia Romagna,Slightly,Moderately,Important,Very important,Very important,Moderately,Very important,Moderately,Important,Slightly,Not at all,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Moderately,Important,Slightly,Important,Very important,Not at all,Important,Slightly,Important,Important,Not at all,,,,,,,,,Undecided,Undecided,Undecided,Agree,Agree,Always,Sometimes,Sometimes,Often,Rarely,Often,Rarely,Often,Never,Rarely,Often,Always,Sometimes,Rarely,Little amount,Pay enough,Little amount,Pay enough,Pay enough,All items,Design,,,,,,,6,7,8,10
7,3,7,5,7,Male,26,4,Middle school,Preferisco non rispondere,Piemonte,Slightly,Moderately,Moderately,Important,Important,Moderately,Important,Moderately,Important,Moderately,Slightly,Moderately,Yes,No,Yes,Yes,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Slightly,Important,Moderately,Slightly,,,,,,,,,Undecided,Agree,Undecided,Undecided,Agree,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Little amount,Little amount,Nothing,Nothing,Little amount,Environment,Design,Important,Not at all,Important,Moderately,Moderately,Slightly,7,8,5,7
10,5,10,5,12,Male,26,4,Postsecondary education,60000€-75000€,Sicilia,Moderately,Moderately,Important,Important,Important,Slightly,Very important,Moderately,Very important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Often,Often,Often,Slightly,Moderately,Important,Slightly,Slightly,Moderately,Moderately,Slightly,Slightly,Important,Important,Slightly,,,,,,,,,Agree,Disagree,Agree,Strongly agree,Strongly agree,Always,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Rarely,Sometimes,Often,Always,Always,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Large amount,Environment,All items,,,,,,,8,8,8,7
